                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  1.046,                0.79534,                 1.0863,                0.94242,                  0.869,                0.95393,                0.53952,                 1.4335,                0.84799,                 1.3724,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.0409,                0.73686,                 1.0746,                 0.9388,                0.91432,                0.95772,                0.56523,                 1.4306,                0.83395,                 1.3616,               0.000557,               0.000557,               0.000557
                     59,                 1.0296,                0.75077,                   1.08,                0.93956,                0.88967,                0.93627,                0.54388,                 1.4389,                0.87841,                 1.4237,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0445,                0.78998,                 1.0728,                0.89208,                0.88226,                0.92239,                0.52764,                 1.4594,                0.89229,                 1.4336,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0323,                0.73247,                 1.0782,                0.95666,                0.84575,                0.92959,                0.51781,                 1.5118,                0.92345,                 1.4541,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0243,                0.75383,                  1.075,                0.93137,                0.86282,                0.93545,                0.51567,                 1.5705,                0.92158,                 1.5214,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.0011,                0.74692,                 1.0435,                0.93019,                0.89933,                0.95044,                0.51813,                 1.5235,                0.92165,                 1.5016,             0.00049513,             0.00049513,             0.00049513
                     64,                0.99719,                0.73129,                 1.0505,                0.95903,                0.86393,                0.94529,                0.52979,                 1.4934,                0.88998,                 1.4393,             0.00048275,             0.00048275,             0.00048275
                     65,                0.98752,                0.73272,                 1.0671,                0.92833,                0.87573,                 0.9402,                 0.5192,                 1.5209,                0.90465,                 1.4327,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.0223,                0.74383,                 1.0792,                0.92973,                0.87669,                0.93986,                0.53383,                 1.4684,                0.87474,                 1.4127,               0.000458,               0.000458,               0.000458
                     67,                0.93214,                0.68875,                 1.0262,                0.92848,                  0.875,                0.93987,                0.53306,                 1.4709,                0.87368,                 1.4205,             0.00044563,             0.00044563,             0.00044563
                     68,                 0.9585,                0.71675,                 1.0544,                0.94451,                0.83406,                 0.9158,                0.50268,                  1.519,                0.89105,                 1.4557,             0.00043325,             0.00043325,             0.00043325
                     69,                0.97639,                0.71829,                 1.0529,                0.91322,                0.84223,                0.89814,                 0.5004,                 1.5087,                0.90067,                 1.4521,             0.00042087,             0.00042087,             0.00042087
