                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.63788,                0.48309,                 1.1934,                0.99828,                0.96774,                0.96553,                0.70261,                 1.0675,                0.60655,                  1.895,               0.000713,               0.000713,               0.000713
                     68,                0.65363,                0.47537,                 1.1792,                0.99787,                0.96774,                 0.9656,                0.74146,                0.96189,                0.56382,                 1.7757,              0.0006932,              0.0006932,              0.0006932
                     69,                0.67837,                0.49945,                  1.229,                0.99853,                0.96774,                0.96575,                0.72765,                0.92923,                0.56412,                 1.7511,              0.0006734,              0.0006734,              0.0006734
                     70,                0.65803,                0.49744,                 1.1983,                0.99738,                0.96774,                 0.9657,                0.71455,                 1.0065,                0.57475,                 1.8698,              0.0006536,              0.0006536,              0.0006536
                     71,                0.64403,                0.45999,                  1.168,                0.99659,                0.96774,                0.97522,                0.74317,                0.91569,                0.53987,                 1.7458,              0.0006338,              0.0006338,              0.0006338
                     72,                0.66308,                0.49652,                 1.2105,                0.99973,                0.93548,                0.97226,                0.75029,                0.90292,                0.54378,                 1.6842,               0.000614,               0.000614,               0.000614
                     73,                0.62269,                0.44856,                  1.157,                0.99858,                0.96774,                0.99157,                 0.7622,                0.88422,                0.48813,                 1.6474,              0.0005942,              0.0005942,              0.0005942
                     74,                0.62598,                0.45881,                 1.1922,                0.99726,                0.96774,                0.99318,                0.77464,                0.89819,                0.47417,                  1.675,              0.0005744,              0.0005744,              0.0005744
                     75,                0.62287,                0.46129,                 1.1838,                0.99728,                0.96774,                0.99318,                0.76227,                0.88099,                0.50171,                  1.674,              0.0005546,              0.0005546,              0.0005546
                     76,                0.63085,                0.46331,                 1.1835,                0.96308,                0.96774,                0.98945,                0.78663,                0.84055,                0.50997,                  1.596,              0.0005348,              0.0005348,              0.0005348
                     77,                0.63628,                 0.4605,                 1.1578,                0.93574,                0.96774,                0.98796,                0.79519,                0.85185,                0.52664,                 1.6004,               0.000515,               0.000515,               0.000515
                     78,                0.60935,                0.44866,                 1.2011,                0.96502,                0.93548,                0.98396,                 0.7762,                0.87852,                0.54906,                  1.662,              0.0004952,              0.0004952,              0.0004952
                     79,                0.60721,                0.43746,                 1.1931,                0.93728,                0.96422,                0.98597,                0.75999,                0.91145,                0.55105,                 1.6824,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58571,                0.44019,                 1.1327,                 0.9393,                0.99836,                0.99125,                0.77319,                0.92341,                0.52472,                 1.6929,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57259,                0.41521,                 1.1529,                0.93925,                0.99751,                0.99318,                0.78421,                0.86314,                0.50864,                  1.652,              0.0004358,              0.0004358,              0.0004358
                     82,                0.57071,                0.41586,                 1.1364,                      1,                0.96725,                0.99318,                0.79355,                0.82693,                0.46324,                 1.6244,               0.000416,               0.000416,               0.000416
                     83,                0.58534,                0.43872,                 1.1891,                0.96868,                0.99761,                0.99406,                0.81499,                0.82321,                 0.4314,                 1.6297,              0.0003962,              0.0003962,              0.0003962
                     84,                0.60449,                0.41241,                 1.1513,                0.96868,                 0.9978,                0.99406,                0.80878,                0.83108,                0.41523,                 1.6534,              0.0003764,              0.0003764,              0.0003764
                     85,                0.56761,                 0.4064,                 1.1101,                0.96418,                0.96774,                0.99221,                0.79305,                0.84014,                0.46261,                 1.6377,              0.0003566,              0.0003566,              0.0003566
                     86,                0.56556,                0.42705,                 1.1701,                      1,                0.95957,                0.99157,                0.78612,                0.85148,                0.50035,                 1.6398,              0.0003368,              0.0003368,              0.0003368
                     87,                0.54111,                0.42991,                 1.1403,                0.99717,                0.96774,                0.99014,                 0.7873,                0.82791,                0.47825,                 1.6223,               0.000317,               0.000317,               0.000317
                     88,                0.60897,                0.44721,                 1.1804,                0.99763,                0.96774,                0.98947,                0.78803,                0.82804,                0.45837,                 1.6416,              0.0002972,              0.0002972,              0.0002972
                     89,                0.55444,                0.42273,                 1.1493,                0.99784,                0.96774,                0.98479,                0.78542,                0.84083,                0.46825,                 1.6604,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.5544,                0.38837,                 1.1492,                0.99786,                0.96774,                0.98076,                0.78342,                0.84915,                 0.4673,                 1.6525,              0.0002576,              0.0002576,              0.0002576
                     91,                0.43276,                0.46772,                 1.1165,                0.99788,                0.96774,                0.98947,                0.79215,                0.85719,                0.47997,                 1.6394,              0.0002378,              0.0002378,              0.0002378
                     92,                0.46296,                0.46793,                 1.2034,                0.99759,                0.96774,                0.99157,                0.79989,                0.85933,                0.46694,                 1.6311,               0.000218,               0.000218,               0.000218
                     93,                0.38334,                0.35295,                  1.091,                0.99682,                0.96774,                0.99318,                0.77425,                0.90927,                0.47896,                 1.7102,              0.0001982,              0.0001982,              0.0001982
                     94,                0.36067,                0.34425,                 1.0748,                0.99579,                0.96774,                0.99318,                0.76485,                0.91686,                0.46666,                   1.73,              0.0001784,              0.0001784,              0.0001784
                     95,                0.36643,                 0.3359,                 1.0859,                0.99553,                0.96774,                0.99318,                0.77979,                0.87741,                0.45211,                 1.6701,              0.0001586,              0.0001586,              0.0001586
                     96,                0.35814,                0.33875,                 1.0663,                0.99514,                0.96774,                0.99318,                0.79172,                0.83915,                0.45157,                 1.6121,              0.0001388,              0.0001388,              0.0001388
                     97,                0.36946,                0.32584,                 1.0889,                0.99451,                0.96774,                0.99318,                  0.801,                0.82932,                 0.4464,                 1.5978,               0.000119,               0.000119,               0.000119
                     98,                0.31853,                0.30414,                 1.0459,                0.99432,                0.96774,                0.99318,                0.80981,                0.82287,                0.43942,                  1.587,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.33494,                0.31357,                 1.0653,                0.99472,                0.96774,                0.99318,                0.80957,                0.82033,                0.44032,                 1.5826,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.30902,                0.29852,                 1.0474,                0.99479,                0.96774,                0.99318,                0.79845,                 0.8239,                0.44203,                 1.5904,               5.96e-05,               5.96e-05,               5.96e-05
